Playlist,Categoria,Rotulo,Posicao,Musica,Artista,Duracao,Link_Spotify
Domination Mid-Week,Dia,Dia 05,5,INDUSTRY BABY,Lil Nas X ft. Jack Harlow,3:32,
Domination Mid-Week,Dia,Dia 05,6,Savage,Megan Thee Stallion,2:24,
Domination Mid-Week,Dia,Dia 05,7,No Role Modelz,J. Cole,4:54,
Domination Mid-Week,Dia,Dia 05,8,Mask Off,Future,3:31,
Domination Mid-Week,Dia,Dia 05,9,XO Tour Llif3,Lil Uzi Vert,2:59,
Domination Mid-Week,Dia,Dia 05,10,Mnike,Tyler ICU ft. Tumelo.za,6:44,
Weekend Warrior,Dia,Dia 06,1,Seven Nation Army,The White Stripes,3:51,
Weekend Warrior,Dia,Dia 06,2,Welcome to the Jungle,Guns N' Roses,4:33,
Weekend Warrior,Dia,Dia 06,3,Uprising,Muse,5:02,
Weekend Warrior,Dia,Dia 06,4,Run,Foo Fighters,4:33,
Weekend Warrior,Dia,Dia 06,5,Fuel,Metallica,4:28,
Weekend Warrior,Dia,Dia 06,6,Radioactive,Imagine Dragons,3:06,
Weekend Warrior,Dia,Dia 06,7,Knights of Cydonia,Muse,6:07,
Weekend Warrior,Dia,Dia 06,8,Enter Sandman,Metallica,5:31,
Weekend Warrior,Dia,Dia 06,9,Back in Black,AC/DC,4:15,
Weekend Warrior,Dia,Dia 06,10,In One Ear,Cage the Elephant,2:41,
Sunday Grind Mentality,Dia,Dia 07,1,Alright,Kendrick Lamar,3:39,
Sunday Grind Mentality,Dia,Dia 07,2,"Work Hard, Play Hard",Wiz Khalifa,3:05,
Sunday Grind Mentality,Dia,Dia 07,3,Pursuit of Happiness,Kid Cudi,4:47,
Sunday Grind Mentality,Dia,Dia 07,4,Ultralight Beam,Kanye West,5:03,
Sunday Grind Mentality,Dia,Dia 07,5,Legacy,Jay-Z,3:14,
Sunday Grind Mentality,Dia,Dia 07,6,Blessings,Big Sean ft. Drake,5:15,
Sunday Grind Mentality,Dia,Dia 07,7,Glory,Jay-Z ft. Blue Ivy,3:58,
Sunday Grind Mentality,Dia,Dia 07,8,N95,Kendrick Lamar,3:14,
Sunday Grind Mentality,Dia,Dia 07,9,The Heart Part 5,Kendrick Lamar,5:24,
Sunday Grind Mentality,Dia,Dia 07,10,Sing About Me,Kendrick Lamar,11:59,
Champion's Blueprint,Dia,Dia 08,1,Gonna Fly Now,Bill Conti,2:50,
Champion's Blueprint,Dia,Dia 08,2,Greatest,Sia,3:36,
Champion's Blueprint,Dia,Dia 08,3,Unstoppable,Sia,3:42,
Champion's Blueprint,Dia,Dia 08,4,Victory,Diddy ft. Notorious B.I.G.,6:17,
Champion's Blueprint,Dia,Dia 08,5,Fight Song,Rachel Platten,3:24,
Champion's Blueprint,Dia,Dia 08,6,Now We Are Free,Hans Zimmer,4:48,
Champion's Blueprint,Dia,Dia 08,7,Man of Steel Suite,Hans Zimmer,6:52,
Champion's Blueprint,Dia,Dia 08,8,This Is Me,Keala Settle,3:51,
Champion's Blueprint,Dia,Dia 08,9,Warriors,Imagine Dragons,2:41,
Champion's Blueprint,Dia,Dia 08,10,Believer,Imagine Dragons,3:24,
Final Push — No Days Off,Dia,Dia 09,1,Not Afraid,Eminem,4:10,
Final Push — No Days Off,Dia,Dia 09,2,Thunderclouds,"LSD ft. Sia, Diplo",3:15,
Final Push — No Days Off,Dia,Dia 09,3,Rise,Katy Perry,3:38,
Final Push — No Days Off,Dia,Dia 09,4,In The End,Linkin Park,3:36,
Final Push — No Days Off,Dia,Dia 09,5,Numb,Linkin Park,3:07,
Final Push — No Days Off,Dia,Dia 09,6,Breaking the Habit,Linkin Park,3:16,
Final Push — No Days Off,Dia,Dia 09,7,Castle of Glass,Linkin Park,3:53,
Final Push — No Days Off,Dia,Dia 09,8,Invincible,Hedley,3:48,
Final Push — No Days Off,Dia,Dia 09,9,Warriors,Imagine Dragons,2:41,
Final Push — No Days Off,Dia,Dia 09,10,Believer,Imagine Dragons,3:24,
T.DAY Ultimate Collection,Dia,Dia 10,1,Till I Collapse,Eminem,4:57,
T.DAY Ultimate Collection,Dia,Dia 10,2,Stronger,Kanye West,5:11,
T.DAY Ultimate Collection,Dia,Dia 10,3,Blinding Lights,The Weeknd,3:20,
T.DAY Ultimate Collection,Dia,Dia 10,4,All I Do Is Win,DJ Khaled,3:20,
T.DAY Ultimate Collection,Dia,Dia 10,5,HUMBLE.,Kendrick Lamar,2:57,
T.DAY Ultimate Collection,Dia,Dia 10,6,Seven Nation Army,The White Stripes,3:51,
T.DAY Ultimate Collection,Dia,Dia 10,7,Alright,Kendrick Lamar,3:39,
T.DAY Ultimate Collection,Dia,Dia 10,8,Greatest,Sia,3:36,
T.DAY Ultimate Collection,Dia,Dia 10,9,Warriors,Imagine Dragons,2:41,
T.DAY Ultimate Collection,Dia,Dia 10,10,Eye of the Tiger,Survivor,4:05,
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,1,Hey Jude,The Beatles,7:11,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,2,Let It Be,The Beatles,4:03,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,3,Come Together,The Beatles,4:20,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,4,Wonderwall,Oasis,4:18,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,5,Don't Look Back in Anger,Oasis,4:48,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,6,Champagne Supernova,Oasis,7:27,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,7,Garota Nacional,Skank,4:31,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,8,Vou Deixar,Skank,3:56,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,9,É Uma Partida de Futebol,Skank,3:38,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,10,Whisky a Go Go,Roupa Nova,4:05,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,11,Dona,Roupa Nova,4:22,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,12,A Viagem,Roupa Nova,4:10,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,13,Tempo Perdido,Legião Urbana,5:08,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,14,Meu Erro,Os Paralamas do Sucesso,3:28,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,15,Só Hoje,Jota Quest,4:15,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,16,Epitáfio,Titãs,4:16,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,17,Yellow,Coldplay,4:29,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,18,With or Without You,U2,4:56,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,19,Bohemian Rhapsody,Queen,5:55,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
Clássicos de Hoje — Rock & Pop,Coletânea,Hoje,20,Angie,The Rolling Stones,4:33,https://open.spotify.com/playlist/2bjCqc0G25asmABefcpT3H
TB 100,Coletânea,Coletânea,1,Bohemian Rhapsody,Queen,5:55,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,2,Hey Jude,The Beatles,7:11,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,3,Billie Jean,Michael Jackson,4:54,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,4,Stairway to Heaven,Led Zeppelin,8:02,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,5,Smells Like Teen Spirit,Nirvana,5:01,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,6,(I Can't Get No) Satisfaction,The Rolling Stones,3:44,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,7,Like a Rolling Stone,Bob Dylan,6:13,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,8,Imagine,John Lennon,3:03,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,9,What's Going On,Marvin Gaye,3:53,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,10,Respect,Aretha Franklin,2:28,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,11,God Only Knows,The Beach Boys,2:51,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,12,Heroes,David Bowie,6:07,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,13,Purple Rain,Prince,8:41,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,14,I Will Always Love You,Whitney Houston,4:31,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,15,Hotel California,Eagles,6:30,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,16,Sweet Child o' Mine,Guns N' Roses,5:56,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,17,With or Without You,U2,4:56,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,18,Born to Run,Bruce Springsteen,4:31,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,19,Wish You Were Here,Pink Floyd,5:34,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,20,Baba O'Riley,The Who,5:00,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,21,Superstition,Stevie Wonder,4:26,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,22,Rocket Man,Elton John,4:41,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,23,Go Your Own Way,Fleetwood Mac,3:38,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,24,Back in Black,AC/DC,4:15,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,25,Enter Sandman,Metallica,5:31,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,26,Redemption Song,Bob Marley,3:48,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,27,Purple Haze,Jimi Hendrix,2:50,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,28,Light My Fire,The Doors,7:06,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,29,Georgia on My Mind,Ray Charles,3:38,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,30,A Change Is Gonna Come,Sam Cooke,3:11,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,31,(Sittin' On) The Dock of the Bay,Otis Redding,2:44,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,32,I Got You (I Feel Good),James Brown,2:47,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,33,Johnny B. Goode,Chuck Berry,2:41,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,34,Suspicious Minds,Elvis Presley,4:22,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,35,My Way,Frank Sinatra,4:35,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,36,Bridge Over Troubled Water,Simon & Garfunkel,4:52,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,37,Creep,Radiohead,3:58,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,38,Wonderwall,Oasis,4:18,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,39,Yellow,Coldplay,4:29,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,40,Under the Bridge,Red Hot Chili Peppers,4:24,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,41,Every Breath You Take,The Police,4:13,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,42,Livin' on a Prayer,Bon Jovi,4:09,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,43,Don't Stop Believin',Journey,4:11,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,44,Eye of the Tiger,Survivor,4:05,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,45,What's Love Got to Do with It,Tina Turner,3:48,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,46,Like a Prayer,Madonna,5:39,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,47,Girls Just Want to Have Fun,Cyndi Lauper,3:58,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,48,Stayin' Alive,Bee Gees,4:45,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,49,Dancing Queen,ABBA,3:51,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,50,Rolling in the Deep,Adele,3:48,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,51,Rehab,Amy Winehouse,3:35,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,52,Crazy in Love,Beyoncé,3:56,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,53,Umbrella,Rihanna,4:35,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,54,Bad Romance,Lady Gaga,4:54,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,55,Firework,Katy Perry,3:47,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,56,Blank Space,Taylor Swift,3:51,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,57,Shape of You,Ed Sheeran,3:53,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,58,Just the Way You Are,Bruno Mars,3:40,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,59,Blinding Lights,The Weeknd,3:20,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,60,Don't Start Now,Dua Lipa,3:03,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,61,Lose Yourself,Eminem,5:26,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,62,99 Problems,Jay-Z,3:54,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,63,Stronger,Kanye West,5:11,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,64,HUMBLE.,Kendrick Lamar,2:57,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,65,God's Plan,Drake,3:18,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,66,Changes,2Pac,4:29,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,67,Juicy,The Notorious B.I.G.,5:02,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,68,Gin and Juice,Snoop Dogg,3:33,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,69,Still D.R.E.,Dr. Dre,4:30,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,70,Hey Ya!,OutKast,3:55,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,71,If I Ain't Got You,Alicia Keys,3:48,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,72,All of Me,John Legend,4:29,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,73,Stay With Me,Sam Smith,2:52,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,74,Chandelier,Sia,3:36,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,75,Royals,Lorde,3:10,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,76,bad guy,Billie Eilish,3:14,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,77,Believer,Imagine Dragons,3:24,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,78,Sugar,Maroon 5,3:55,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,79,Counting Stars,OneRepublic,4:17,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,80,In the End,Linkin Park,3:36,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,81,Boulevard of Broken Dreams,Green Day,4:20,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,82,Everlong,Foo Fighters,4:10,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,83,Alive,Pearl Jam,5:41,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,84,Black Hole Sun,Soundgarden,5:18,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,85,Seven Nation Army,The White Stripes,3:51,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,86,Do I Wanna Know?,Arctic Monkeys,4:32,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,87,Mr. Brightside,The Killers,3:42,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,88,Song 2,Blur,2:02,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,89,Enjoy the Silence,Depeche Mode,4:16,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,90,Just Like Heaven,The Cure,3:33,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,91,Once in a Lifetime,Talking Heads,4:19,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,92,Get Lucky,Daft Punk,6:07,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,93,Wake Me Up,Avicii,4:09,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,94,Summer,Calvin Harris,3:43,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,95,Titanium,David Guetta,4:05,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,96,Africa,Toto,4:55,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,97,Take On Me,a-ha,3:46,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,98,Sultans of Swing,Dire Straits,5:47,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,99,Smooth,Santana,4:56,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100,Coletânea,Coletânea,100,Have You Ever Seen the Rain,Creedence Clearwater Revival,2:40,https://open.spotify.com/playlist/4T1QICvy4hruugOnMyTspC
TB 100 Vol. 1,Volume,Vol. 1,1,Don't Stop Me Now,Queen,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,2,Let It Be,The Beatles,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,3,Thriller,Michael Jackson,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,4,Whole Lotta Love,Led Zeppelin,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,5,Come as You Are,Nirvana,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,6,Paint It Black,The Rolling Stones,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,7,Blowin' in the Wind,Bob Dylan,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,8,Space Oddity,David Bowie,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,9,When Doves Cry,Prince,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,10,Dancing in the Dark,Bruce Springsteen,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
TB 100 Vol. 1,Volume,Vol. 1,11,Sweetest Thing,U2,,https://open.spotify.com/playlist/3I9dM6dIdlcQMOtlDHJqL3
